id,Root_Length_cm
1,2.7
1,5.4
1,3.6
1,7.1
1,3.2
1,4.8
1,6.3
1,8.7
1,2.5
2,2.2
2,1.8
2,4.6
2,7.3
2,0.9
3,4.7
3,3.9
3,6.1
4,6.7
4,7.4
5,7.4
6,2.5
6,4.1
6,7.2
6,0.8
6,8.1
6,6.5
6,3.2
7,4.2
7,6.6
7,3.5
7,6.1
7,5.3
8,1.3
8,3.9
8,1.7
8,4.3
8,6.8
8,3.2
8,0.6
9,7.1
9,5.8
9,2.3
9,4.6
9,6.9
9,8.2
9,5.9
10,5.7
10,3.9
10,5.1
11,7.3
11,9
12,3.5
12,7.2
12,1.8
12,5.9
13,5.1
13,2.8
13,4.4
14,6.4
14,9.6
15,8.6
16,5.2
16,5.9
16,7.4
16,1.8
16,1.7
16,4.3
16,6.7
17,4.7
17,0.6
17,5.3
18,2.4
18,5.7
18,3.9
18,6.2
18,4.9
19,2.4
19,7.1
19,5.7
19,1.9
20,6.2
20,5.6
20,7.3
20,1.4
20,4.8
20,6.4
20,0.3
20,1.2
20,3.5
20,6.8
20,2.3
20,4.6
20,5.7
20,0.9
20,5.1
20,4
21,1.2
21,4.3
21,5.6
21,7.8
21,0.4
21,2.3
21,1.7
21,4.2
21,7.5
21,1.9
22,2.3
22,6.8
22,4.5
22,1.9
22,8.1
22,3.7
22,9.4
22,2.6
22,5.4
22,8.1
22,1.7
22,4.9
22,7.2
22,3.3
22,6.5
22,9.8
23,4.7
23,7.2
23,6.3
23,2.8
23,9.5
24,3.5
24,4.2
24,7.8
24,9.3
25,5.8
25,6.4
25,2.6
25,5.4
25,8.3
26,5.6
26,5.8
26,4.7
26,7.3
26,4.2
26,2.1
26,2.3
26,5.6
26,1
26,8.9
26,4.2
26,7.7
26,0.5
26,9.2
26,3.4
26,6.1
26,2.8
26,5.3
26,1.7
26,8
26,4.9
26,7.4
26,0.2
27,5.1
27,2.6
27,4.4
27,2.3
27,1.7
27,5.8
27,6.2
27,4.1
27,5.3
27,5
28,1.8
28,4.3
28,7.9
28,3.6
28,6.1
28,9.2
28,2.7
28,5.4
28,3.2
28,7.5
28,1.6
28,9.8
28,5.1
28,2.4
28,8.7
29,5.2
29,5.5
29,5.8
29,6.2
