id,Sprout_Length_cm
1,1.8
1,4.5
1,7.2
1,9.6
1,2.3
1,5.1
1,7.9
1,9.4
2,7.2
2,9.3
3,6.3
4,4.8
4,6.7
5,1.3
6,3.2
6,6.7
6,2.6
6,5.4
6,8.3
7,3.2
7,5.1
8,5.8
8,7.3
9,5.2
9,1.8
9,9.4
10,8.9
11,7.9
13,5.2
14,6.8
16,3.8
16,6.5
16,9.2
16,4.3
16,7.9
17,6.2
17,1.5
17,8.7
17,5.7
18,7.4
18,1.7
18,4.2
18,8.5
19,2.8
19,2.3
19,1.6
19,0.8
20,4.7
20,1.2
20,8.3
20,5.9
20,2.4
20,7.1
21,3.7
21,7.1
21,2.4
21,4.7
22,4.2
22,7.8
22,9.3
23,7.7
23,5.4
23,5.9
23,6.8
24,6.1
25,4.8
25,8.3
26,6.2
26,6.5
26,8
26,5.7
26,8.2
26,6.6
27,8.5
27,8.2
27,9.3
28,6.2
28,7.5
28,5.3
28,5.9
28,6.5
29,4.3
29,4.9
29,3.7
29,4.5
